species_index,code_alpha,code_fia,code_plants,bark1,bark2,bark_imap,dg_resid_sd,mort_bkgd_intercept,mort_bkgd_dbh,varmrt_varadj
1,PC,041,CHLA,0.94967,1.0,1,0.4936,5.1677,-0.0077681,0.6
2,IC,081,CADE27,-0.0549,0.8374,2,0.4936,5.1677,-0.0077681,0.6
3,RC,242,THPL,0.94967,1.0,1,0.4936,5.1677,-0.0077681,0.6
4,WF,015,ABCO,-0.1593,0.8911,2,0.4391,5.1677,-0.0077681,0.55
5,RF,020,ABMA,-0.1593,0.8911,2,0.4112,5.1677,-0.0077681,0.5
6,SH,021,ABSH,-0.1593,0.8911,2,0.4112,5.1677,-0.0077681,0.5
7,DF,202,PSME,0.903563,0.989388,1,0.4791,7.2985,-0.0129121,0.65
8,WH,263,TSHE,0.93371,1.0,1,0.4687,9.6943,-0.0127328,0.65
9,MH,264,TSME,0.93371,1.0,1,0.4687,9.6943,-0.0127328,0.75
10,WB,101,PIAL,0.9,0.0,3,0.4169,6.5112,-0.0052485,0.9
11,KP,103,PIAT,0.9329,0.0,3,0.4392,6.5112,-0.0052485,0.9
12,LP,108,PICO,0.9,0.0,3,0.4169,5.9617,-0.0340128,0.9
13,CP,109,PICO3,-0.4448,0.8967,2,0.4392,6.5112,-0.0052485,1.1
14,LM,113,PIFL2,0.9,0.0,3,0.4392,6.5112,-0.0052485,0.9
15,JP,116,PIJE,-0.4448,0.8967,2,0.4458,5.5877,-0.005348,0.85
16,SP,117,PILA,-0.1429,0.8863,2,0.4687,6.5112,-0.0052485,0.7
17,WP,119,PIMO3,-0.1429,0.8863,2,0.4745,6.5112,-0.0052485,0.75
18,PP,122,PIPO,-0.4448,0.8967,2,0.4458,5.5877,-0.005348,0.85
19,MP,124,PIRA2,-0.4448,0.8967,2,0.4458,5.5877,-0.005348,0.85
20,GP,127,PISA2,0.9329,0.0,3,0.4392,5.5877,-0.005348,1.1
21,WJ,064,JUOC,0.94967,1.0,1,0.4392,5.1677,-0.0077681,1.1
22,BR,092,PIBR,0.9,0.0,3,0.4391,9.6943,-0.0127328,0.65
23,GS,212,SEGI2,0.7012,1.04862,1,0.6178,2.596805,0.51261,0.8
24,PY,231,TABR2,0.9,0.0,3,0.4392,5.1677,-0.0077681,0.55
25,OS,299,2TN,-0.4448,0.8967,2,0.4458,5.1677,-0.0077681,0.65
26,LO,801,QUAG,-0.75739,0.93475,2,0.5998,5.1677,-0.0077681,1.0
27,CY,805,QUCH2,-0.19128,0.96147,2,0.5998,5.1677,-0.0077681,1.0
28,BL,807,QUDO,-0.17324,0.94403,2,0.5998,5.1677,-0.0077681,1.0
29,EO,811,QUEN,-0.78572,0.92472,2,0.5998,5.1677,-0.0077681,1.0
30,WO,815,QUGA4,-0.30722,0.95956,2,0.5998,5.1677,-0.0077681,1.0
31,BO,818,QUKE,-0.26824,0.95767,2,0.5998,5.1677,-0.0077681,1.0
32,VO,821,QULO,-0.38289,0.93545,2,0.5998,5.1677,-0.0077681,1.0
33,IO,839,QUWI2,0.04817,0.92953,2,0.5998,5.1677,-0.0077681,1.0
34,BM,312,ACMA3,0.0836,0.94782,2,0.5998,5.1677,-0.0077681,0.8
35,BU,333,AECA,-0.26824,0.95767,2,0.5998,5.1677,-0.0077681,0.8
36,RA,351,ALRU2,0.075256,0.94373,2,0.5998,5.1677,-0.0077681,1.0
37,MA,361,ARME,-0.013484,0.98155,2,0.6608,5.1677,-0.0077681,0.8
38,GC,431,CHCHC4,0.15565,0.90182,2,0.6608,5.1677,-0.0077681,0.8
39,DG,492,CONU4,-0.26824,0.95767,2,0.6608,5.1677,-0.0077681,0.8
40,FL,542,FRLA,-0.26824,0.95767,2,0.5998,5.1677,-0.0077681,0.8
41,WN,600,JUGLA,-0.26824,0.95767,2,0.5998,5.1677,-0.0077681,0.8
42,TO,631,LIDE3,-0.26824,0.95354,2,0.5166,5.1677,-0.0077681,0.55
43,SY,730,PLRA,-0.26824,0.95767,2,0.5998,5.1677,-0.0077681,0.8
44,AS,746,POTR5,0.075256,0.94373,2,0.5998,5.1677,-0.0077681,0.8
45,CW,747,POBAT,-0.26824,0.95767,2,0.5998,5.1677,-0.0077681,0.8
46,WI,920,SALIX,-0.26824,0.95767,2,0.5998,5.1677,-0.0077681,1.0
47,CN,251,TOCA,-0.26824,0.95767,2,0.4392,5.1677,-0.0077681,1.0
48,CL,981,UMCA,-0.12791,0.96579,2,0.5998,5.1677,-0.0077681,1.0
49,OH,998,2TB,-0.26824,0.95767,2,0.5998,5.1677,-0.0077681,1.0
50,RW,211,SESE3,0.7012,1.04862,1,0.6178,2.596805,0.51261,0.8
