species_index,code_alpha,code_fia,code_plants,bark_type,bark_a,bark_b,dg_resid_sd
1,SF,011,ABAM,1,0.186,0.45417,0.57870
2,AF,019,ABLA,1,0.186,0.45417,0.57870
3,YC,042,CANO9,1,0.186,0.45417,0.52752
4,TA,071,LALA,3,0.796645,1.060823,0.61642
5,WS,094,PIGL,3,0.839825,1.039951,0.71588
6,LS,094,PILU,3,0.839825,1.039951,0.71588
7,BE,095,PIMA,3,0.796645,1.060823,0.61642
8,SS,098,PISI,3,0.843047,1.030798,0.57870
9,LP,108,PICO,1,0.186,0.45417,0.45735
10,RC,242,THPL,1,0.186,0.45417,0.51052
11,WH,263,TSHE,1,0.186,0.45417,0.53062
12,MH,264,TSME,3,0.743935,1.048186,0.51938
13,OS,299,2TN,3,0.839825,1.039951,0.71588
14,AD,350,ALNUS,2,0.075256,0.94373,0.61845
15,RA,351,ALRU2,2,0.075256,0.94373,0.58005
16,PB,375,BEPA,3,0.899145,1.011965,0.74677
17,AB,376,BENE4,3,0.899145,1.011965,0.74677
18,BA,741,POBA2,3,0.784424,1.031326,0.61845
19,AS,746,POTR5,3,0.921204,0.996669,0.64192
20,CW,747,POBAT,3,0.784424,1.031326,0.61845
21,WI,920,SALIX,3,0.784424,1.031326,0.61845
22,SU,928,SASC,3,0.784424,1.031326,0.61845
23,OH,998,2TB,3,0.784424,1.031326,0.61845
